"Freq [GHz]","L0 [mm]","W0 [mm]","L1 [mm]","re(Z(1,1)) []","im(Z(1,1)) []"
2.45,28,37.26,0,0.25169430084296,16.1499454910368
2.45,28,37.26,2,4.05890499305927,11.7443132327257
2.45,28,37.26,4,17.0840795798977,5.24281515186451
2.45,28,37.26,6,37.489945981738,-3.37466082878271
2.45,28,37.26,7,51.8445431271854,-5.1904743227888
2.45,28,37.26,8,56.7438178262946,-16.1766573875447
2.45,28,37.26,10,76.0224827141604,-26.7217339453331
2.45,28,37.26,12,83.884137026286,-38.3913647242442
