Freq [GHz],Phi [deg],Theta [deg],dB(GainTotal),,dB(GainTotal)
4,0,132,0.345077263,,-3.798104899
4,0,134,0.335163704,,-3.686609103
4,0,136,0.325608061,,-4.826854146
4,0,138,0.316365637,,-7.767986675
4,0,140,0.307349397,,-14.66147047
4,0,142,0.298438836,,-18.44551983
4,0,144,0.289492108,,-9.02791184
4,0,146,0.28036066,,-5.287377546
4,0,148,0.270905357,,-3.883624805
4,0,150,0.26101296,,-4.19211504
4,0,152,0.250611694,,-6.398276634
4,0,154,0.239684674,,-11.9614369
4,0,156,0.228280069,,-24.47127197
4,0,158,0.216517081,,-10.86001482
4,0,160,0.204587115,,-6.597380779
4,0,162,0.19274988,,-5.387073277
4,0,164,0.181324537,,-6.365055897
4,0,166,0.170676417,,-10.13600478
4,0,168,0.161200192,,-22.55914625
4,0,170,0.153300656,,-14.7180979
4,0,172,0.147372485,,-8.23823358
4,0,174,0.143780383,,-6.081892505
4,0,176,0.142840999,,-6.244605036
4,0,178,0.144807812,,-8.737914538
4,0,180,0.149859906,,-15.3855354
