"Theta [deg]","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='45deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='90deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='135deg'"
-8,-5.86907042488343,-6.74125547264844,-9.22729070986889,-13.1367527967046
-7.5,-6.10288888449215,-6.94044834230099,-9.33369548896125,-13.0417020420823
-7,-6.3413900446868,-7.14249345962965,-9.43536767246483,-12.9279341204373
-6.5,-6.58466157326496,-7.34738022213208,-9.53210915665824,-12.7970706072448
-6,-6.83279934441343,-7.55509211527622,-9.62371773590506,-12.6508251517561
-5.5,-7.08590883251082,-7.76560542406643,-9.70998661705234,-12.4909381002503
-5,-7.34410667584869,-7.97888750626987,-9.79070416641606,-12.3191207431839
-4.5,-7.60752242416968,-8.19489454241474,-9.86565394451897,-12.1370110432829
-4,-7.87630048461801,-8.41356867094179,-9.93461507922898,-11.9461412601769
-3.5,-8.15060228145588,-8.63483441115224,-9.99736302084662,-11.7479167905672
-3,-8.43060864573073,-8.85859427259386,-10.0536707129429,-11.5436048324293
-2.5,-8.71652245198089,-9.0847234483437,-10.1033102003934,-11.3343311227065
-2,-9.00857152002199,-9.31306349280985,-10.1460546812491,-11.1210829148969
-1.5,-9.30701180079785,-9.54341489430569,-10.1816809921508,-10.9047164688809
-1,-9.61213086608096,-9.77552847160363,-10.2099724984112,-10.6859675410344
-0.5,-9.92425172223162,-10.009095555699,-10.2307223403535,-10.4654636258521
0,-10.2437369678686,-10.2437369678686,-10.2437369678686,-10.2437369678686
0.5,-10.570993313494,-10.4789908785581,-10.2488398764767,-10.0212376084717
1,-10.906476476786,-10.7142997352974,-10.2458754416221,-9.79834594323688
1.5,-11.2506964587142,-10.948996588622,-10.2347127346869,-9.57538443766151
2,-11.6042231901883,-11.1822913290025,-10.215249195453,-9.35262828413174
2.5,-11.9676925124634,-11.4132575785032,-10.1874140324423,-9.13031488501137
3,-12.3418124105316,-11.6408212561572,-10.1511712254513,-8.90865212140818
3.5,-12.7273693471624,-11.8637521440738,-10.1065220139605,-8.68782542001618
4,-13.1252344304145,-12.080660095569,-10.0535067708029,-8.46800366646368
4.5,-13.5363689647161,-12.2899978007775,-9.99220618186009,-8.24934403706014
5,-13.9618286463609,-12.4900721894343,-9.92274167848167,-8.03199583511844
5.5,-14.4027652074654,-12.6790665124295,-9.8452750982742,-7.81610342576296
6,-14.8604235915458,-12.8550747977552,-9.76000758006927,-7.60180836626622
6.5,-15.3361316058713,-13.0161496251406,-9.6671777283645,-7.38925082891612
7,-15.8312771985232,-13.1603629525865,-9.56705910950623,-7.17857041119241
7.5,-16.3472656712224,-13.285878089702,-9.45995716477905,-6.96990642432666
8,-16.8854446741905,-13.3910290067689,-9.34620564318445,-6.76339774659336
8.5,-17.4469778562045,-13.4744012968487,-9.2261626683135,-6.55918232225692
9,-18.0326373289507,-13.5349076832453,-9.10020655912275,-6.35739638119567
9.5,-18.6424691679044,-13.5718504176644,-8.9687315238622,-6.15817344800384
10,-19.2752639517899,-13.5849635603843,-8.8321433405375,-5.96164320296545
10.5,-19.9277374787734,-13.5744300360979,-8.6908551270621,-5.76793025081505
11,-20.5933058433341,-13.5408712576896,-8.54528329079801,-5.5771528467545
11.5,-21.2603576976519,-13.4853104597984,-8.3958437316683,-5.38942162289077
12,-21.9100666448862,-13.4091140036046,-8.24294835658718,-5.20483835218949
12.5,-22.5141983573817,-13.3139171925925,-8.08700194658294,-5.02349478130035
13,-23.0341969555133,-13.2015422109874,-7.92839940250626,-4.8454715582763
13.5,-23.423863055476,-13.0739156212649,-7.76752338122197,-4.67083727634735
14,-23.6378982390983,-12.9329916790876,-7.60474232207458,-4.49964765056049
14.5,-23.645436727176,-12.7806859520465,-7.44040885339967,-4.33194484028575
15,-23.4419913015442,-12.6188217940419,-7.27485856096332,-4.16775692731099
15.5,-23.0513891085711,-12.4490904749017,-7.10840909436731,-4.00709755648247
16,-22.5161644124431,-12.2730244018131,-6.94135958347312,-3.84996574354877
16.5,-21.8835743479878,-12.0919819661523,-6.77399033454499,-3.69634585296833
17,-21.1951776501247,-11.9071420755871,-6.60656277482181,-3.54620774686624
17.5,-20.4825254043525,-11.719506299138,-6.43931961433135,-3.39950710498121
18,-19.7672538110453,-11.5299066561892,-6.27248519470398,-3.25618591423079
18.5,-19.0630698565511,-11.3390173208494,-6.10626599628981,-3.11617312534137
19,-18.3780182519685,-11.1473688128398,-5.94085127683208,-2.9793854727387
19.5,-17.7163668542029,-10.9553635513759,-5.7764138171295,-2.84572845249037
20,-17.0799784529755,-10.7632919268952,-5.61311075139418,-2.71509745145391
20.5,-16.4692415663339,-10.5713482810882,-5.45108446227349,-2.58737901886703
21,-15.8836771325775,-10.3796463739742,-5.29046352267558,-2.46245226938342
21.5,-15.3223239681083,-10.1882340600829,-5.13136366856542,-2.3401904040215
22,-14.7839789949026,-9.99710700010981,-4.97388878874816,-2.2204623326834
22.5,-14.2673441811018,-9.80622130702671,-4.81813191931172,-2.10313437889704
23,-13.7711143252021,-9.61550507390209,-4.66417623186044,-1.98807204434079
23.5,-13.2940276543299,-9.42486876125818,-4.51209600593923,-1.87514180767191
24,-12.8348932307305,-9.23421444029732,-4.36195757714338,-1.7642129293655
24.5,-12.3926040329949,-9.04344389928892,-4.21382025334879,-1.65515923186645
25,-11.9661413140711,-8.85246562728297,-4.06773719230926,-1.54786082255829
25.5,-11.5545737678607,-8.66120069462402,-3.92375623457281,-1.44220572604588
26,-11.1570537243011,-8.46958755515219,-3.78192068630079,-1.33809139219748
26.5,-10.7728117608855,-8.27758580147462,-3.64227004714993,-1.23542604742436
27,-10.4011505904341,-8.08517891266244,-3.50484067892972,-1.13412985886619
27.5,-10.0414387494597,-7.8923760431098,-3.36966641129169,-1.0341358845131
28,-9.69310439855484,-7.69921291167261,-3.23677908126399,-0.935390786772472
28.5,-9.35562941149192,-7.50575186095199,-3.10620900402779,-0.837855292454648
29,-9.02854384498837,-7.31208116694547,-2.97798537294992,-0.741504388414737
29.5,-8.71142082839055,-7.11831368850031,-2.8521365875465,-0.646327248897195
30,-8.40387188036845,-6.92458495336408,-2.72869050875371,-0.552326897701357
30.5,-8.1055426407009,-6.73105078260087,-2.60767464162196,-0.459519615307102
31,-7.8161089946064,-6.53788455735603,-2.4891162463212,-0.367934107766831
31.5,-7.53527356176175,-6.34527423126397,-2.37304237913721,-0.277610460192932
32,-7.26276252016645,-6.1534191882563,-2.25947986593782,-0.188598902808336
32.5,-6.99832273506374,-5.96252703939038,-2.14845521137949,-0.100958421590269
33,-6.74171916439782,-5.77281044396747,-2.03999444789229,-0.0147552484026731
33.5,-6.49273251423637,-5.58448403015181,-1.9341229292086,0.0699387328703582
34,-6.25115711987852,-5.39776147907207,-1.83086507387267,0.153047627295296
34.5,-6.01679903079017,-5.21285282455341,-1.73024406477059,0.234493180841176
35,-5.78947427992551,-5.02996200869848,-1.63228151124068,0.314196408990426
35.5,-5.56900732032759,-4.84928472197436,-1.53699708075452,0.392079170347934
36,-5.35522961410384,-4.67100654563317,-1.44440810749122,0.468065656926223
36.5,-5.14797836091956,-4.49530140447808,-1.35452918535945,0.542083776601646
37,-4.94709535503143,-4.32233032936388,-1.26737175315132,0.614066407345065
37.5,-4.75242596158595,-4.15224052148893,-1.18294367954312,0.683952507052228
38,-4.56381820444063,-3.98516470451722,-1.10124885559187,0.751688066986003
38.5,-4.38112195912312,-3.82122074582269,-1.02228680222169,0.817226900866914
39,-4.20418824573247,-3.6605115245949,-0.94605229995579,0.880531265418289
39.5,-4.03286861761092,-3.50312502207014,-0.872535047836416,0.941572311621559
40,-3.86701464247327,-3.34913460762821,-0.801719358094482,1.00033036902656
40.5,-3.70647747337851,-3.19859949378987,-0.733583892688774,1.05679506817545
41,-3.55110750746678,-3.05156533312945,-0.668101447339771,1.11096530854062
41.5,-3.40075413076345,-2.9080649306623,-0.605238788138681,1.16284908135917
42,-3.25526554757421,-2.76811904626691,-0.544956545222801,1.21246315839792
42.5,-3.11448869306001,-2.63173726305945,-0.487209167376155,1.25983265902647
43,-2.9782692274944,-2.49891889927339,-0.43194494074043,1.30499050904588
43.5,-2.84645161046652,-2.36965394303963,-0.379106074104953,1.34797680553968
44,-2.71887925291248,-2.24392399145407,-0.328628852486498,1.38883810260702
44.5,-2.59539474433937,-2.12170317741203,-0.280443859907204,1.42762663322163
45,-2.47584015196342,-2.00295906984079,-0.234476271433012,1.46439948264657
45.5,-2.36005738773217,-1.88765353513707,-0.190646213645839,1.49921772882989
46,-2.24788863835587,-1.77574354978088,-0.148869191790949,1.53214556501374
46.5,-2.13917685256383,-1.66718195622537,-0.10905658087463,1.56324941940825
47,-2.03376627884907,-1.5619181562206,-0.0711161769897447,1.59259708621022
47.5,-1.93150304600646,-1.45989873769643,-0.0349528041327912,1.6202568814867
48,-1.83223577783519,-1.36106803317605,-0.000468970758098314,1.64629683649482
48.5,-1.73581623250906,-1.26536860939877,0.0324344306872692,1.67078393987987
49,-1.64209995635207,-1.1727416893724,0.0638573889686097,1.69378343889533
49.5,-1.55094694113485,-1.08312750943968,0.0939000126298108,1.71535820833725
50,-1.46222227356333,-0.996465615111351,0.122661751350607,1.73556819430948
50.5,-1.37579676540297,-0.912695100382467,0.150240610211019,1.75446993826015
51,-1.29154755269125,-0.831754796004502,0.176732367514483,1.77211618499642
51.5,-1.20935865276509,-0.753583412730065,0.202229807174682,1.78855557662671
52,-1.12912146837343,-0.678119645888501,0.2268219768189,1.80383243264572
52.5,-1.05073522896445,-0.605302247794578,0.250593482680521,1.81798661470583
53,-0.974107360315652,-0.535070074456186,0.273623832029438,1.83105347305332
53.5,-0.899153774997212,-0.467362112844665,0.295986833316553,1.84306387018628
54,-0.825799077687396,-0.402117494646949,0.317750063386025,1.85404427604577
54.5,-0.753976681052785,-0.33927550195033,0.338974410049587,1.86401692800943
55,-0.68362882971581,-0.278775569748134,0.359713697040543,1.87300004813639
55.5,-0.614706531700647,-0.220557289516021,0.380014396901891,1.88100810952316
56,-0.547169398617143,-0.164560417423946,0.399915435750772,1.88805214327566
56.5,-0.480985397653575,-0.110724890037209,0.419448092146316,1.89414007747439
57,-0.416130520144918,-0.0589908496459165,0.438635990519402,1.89927709959768
57.5,-0.352588373014772,-0.00929868066297022,0.457495187853977,1.90346603414758
58,-0.290349700713854,0.0384109421341137,0.476034350592813,1.90670772767489
58.5,-0.229411846361765,0.0841969933600514,0.494255017127412,1.90900143399066
59,-0.169778161620288,0.128118025177907,0.512151939766485,1.91034519305471
59.5,-0.111457375376311,0.170232084743446,0.529713498801578,1.91073619781404
60,-0.0544629315868595,0.210596622242061,0.546922180229485,1.91017114409659
60.5,0.00118769334660711,0.249268391156996,0.563755107874431,1.90864655951891
61,0.0554736835382831,0.286303342663392,0.580184620086633,1.90615910821536
61.5,0.108371577220817,0.321756516219071,0.596178880881659,1.90270586901817
62,0.159855951930235,0.355681928521935,0.611702515318743,1.89828458549363
62.5,0.209900092989631,0.388132463032239,0.626717259080055,1.89289388695471
63,0.258476637898247,0.419159762218887,0.64118261258423,1.88653348021482
63.5,0.305558190195889,0.448814124590862,0.655056490518727,1.87920431241118
64,0.351117897375966,0.47714440842584,0.668295858375463,1.87090870571028
64.5,0.395129988430077,0.504197943914476,0.680857348389011,1.86165046510561
65,0.437570267596655,0.530020455211888,0.692697848173709,1.85143496083638
65.5,0.478416561830745,0.554655993634302,0.703775056303271,1.84026918719592
66,0.517649120393933,0.5781468829681,0.714048000042739,1.8281617996664
66.5,0.555250965767884,0.600533677579495,0.723477511403569,1.81512313241942
67,0.591208195813727,0.621855133731717,0.732026658623188,1.80116519826701
67.5,0.62551023772596,0.64214819424297,0.739661131052903,1.78630167314265
68,0.658150054865136,0.661447986356018,0.746349576258726,1.77054786714448
68.5,0.689124307995572,0.679787832446833,0.752063888886523,1.75392068409224
69,0.71843347281286,0.697199272978537,0.756779451510925,1.73643857144036
69.5,0.746081915921305,0.713712100912798,0.760475328272767,1.7181214622623
70,0.772077931625814,0.729354406625096,0.763134412612024,1.69899071087809
70.5,0.796433742041927,0.744152632236263,0.764743530825774,1.67906902354737
71,0.819165463111379,0.758131634169436,0.765293503525353,1.65838038549528
71.5,0.840293039147391,0.7713147526708,0.76477916734246,1.63694998538502
72,0.859840148532491,0.783723886991515,0.763199359443229,1.61480413820047
72.5,0.877834083159393,0.79537957491713,0.760556867562193,1.59197020735805
73,0.894305604150906,0.806301075345737,0.756858348370052,1.56847652673053
73.5,0.909288776322226,0.816506452656651,0.752114217047265,1.54435232313907
74,0.922820783766444,0.826012661671666,0.746338510957384,1.51962763975285
74.5,0.934941728854083,0.834835632090932,0.739548730304511,1.49433326072949
75,0.945694416845174,0.842990351378686,0.731765658624632,1.46850063733455
75.5,0.95512412822033,0.85049094518012,0.723013165905531,1.44216181569253
76,0.96327838074639,0.857350754463469,0.713317997057979,1.41534936624741
76.5,0.970206683206733,0.863582408699998,0.702709548376634,1.38809631494408
77,0.975960282643596,0.869197894514873,0.691219634533485,1.36043607608508
77.5,0.980591906882958,0.874208619361408,0.678882248543638,1.33240238676679
78,0.984155504039211,0.8786254698878,0.665733317033135,1.30402924275664
78.5,0.98670598062782,0.882458864777259,0.651810453022768,1.2753508356362
79,0.988298939848445,0.885718801946805,0.637152708321832,1.2464014910035
79.5,0.988990421536545,0.888414900087731,0.621800327500616,1.21721560750227
80,0.988836645218292,0.890556434618178,0.605794505282189,1.1878275964236
80.5,0.987893757639974,0.892152368196513,0.589177149060827,1.15827182160852
81,0.986217586078122,0.893211376013546,0.571990648118443,1.12858253936666
81.5,0.983863398668443,0.893741866139485,0.554277650969617,1.098793838117
82,0.980885672921683,0.893751995250739,0.536080852122458,1.06893957745208
82.5,0.977337873517971,0.893249680101265,0.517442789395027,1.03905332632677
83,0.973272240393377,0.892242605133691,0.498405652777308,1.00916830007708
83.5,0.968739588046578,0.890738226648471,0.479011105676178,0.979317295985335
84,0.96378911690568,0.888743773964338,0.459300119226995,0.949532627123317
84.5,0.958468237501408,0.886266248012522,0.439312820200872,0.919846054227652
85,0.952822408095837,0.883312417810633,0.419088352882605,0.890288715391378
85.5,0.946894986315847,0.879888815260573,0.398664755141433,0.860891053392034
86,0.940727095237897,0.87600172871005,0.378078848767564,0.83168274052133
86.5,0.934357504267789,0.87165719570882,0.357366144002156,0.802692600834415
87,0.927822525056095,0.866860995380565,0.336560758048652,0.773948529797006
87.5,0.921155922588241,0.86161864081919,0.315695347222016,0.745477411378049
88,0.914388841490078,0.855935371904838,0.294801052268171,0.717305032711931
88.5,0.907549747495184,0.849816148921526,0.273907456273284,0.689455996537934
89,0.900664383931174,0.843265647343542,0.253042554480083,0.661953631714951
89.5,0.893755742999695,0.836288254143905,0.232232735238693,0.634819902204648
90,0.886844051549513,0.828888065963185,0.211502771243137,0.608075315015314
90.5,0.879946770974718,0.82106888946309,0.190875820141948,0.581738827699746
91,0.87307861081149,0.812834244174099,0.170373433563414,0.5558277561021
91.5,0.866251555556382,0.804187368131509,0.150015573562212,0.53035768314732
92,0.859474904188022,0.795131226578402,0.129820635475532,0.505342369562141
92.5,0.852755321840789,0.785668523997014,0.109805476172343,0.480793667503595
93,0.846096903053695,0.775801719711293,0.0899854466884659,0.456721438149365
93.5,0.83950124599976,0.765533047282673,0.0703744282630359,0.433133474369264
94,0.832967537088807,0.754864537897655,0.0509848708263477,0.410035429647563
94.5,0.826492645329566,0.743798047918689,0.0318278330348506,0.387430754457502
95,0.820071225833618,0.73233529073942,0.0129130230047336,0.365320641302007
95.5,0.813695831842341,0.720477873049524,-0.00575116104077744,0.343703979623224
96,0.807357034658292,0.708227335574594,-0.0241575909246317,0.322577321748837
96.5,0.801043550861576,0.695585198309554,-0.0423003701079159,0.301934860982137
97,0.794742376189033,0.682553010212632,-0.0601747972798947,0.281768422854939
97.5,0.788438925449423,0.669132403267705,-0.077777332423927,0.26206747044721
98,0.782117177836686,0.655325150757111,-0.095105565756304,0.242819124534965
98.5,0.775759826989253,0.64113322951443,-0.112158189855051,0.224008199158508
99,0.769348435121636,0.626558885846956,-0.128934975219293,0.205617253008823
99.5,0.762863590526487,0.611604704730526,-0.145436749427583,0.187626656811489
100,0.756285067710543,0.596273681785534,-0.161665379997075,0.17001467664832
100.5,0.749591989385564,0.580569297443259,-0.177623760986565,0.152757572898978
101,0.742762989486036,0.564495592605406,-0.193315803333828,0.135829714212916
101.5,0.735776376329958,0.548057244989296,-0.208746428875996,0.119203705637919
102,0.728610294977278,0.531259645236717,-0.223921567966593,0.102850529741992
102.5,0.721242887774624,0.514108971747372,-0.2388481605792,0.086739699272624
103,0.71365245200519,0.496612263080794,-0.253534160771951,0.0708394196080781
103.5,0.70581759349129,0.478777486653533,-0.267988544380997,0.0551167589730101
104,0.697717374926285,0.46061360234628,-0.282221319813574,0.0395378241214988
104.5,0.689331457643313,0.44213061952818,-0.296243541820763,0.0240679389389072
105,0.680640235464451,0.423339645907482,-0.31006732814733,0.00867182318543315
105.5,0.671624959217329,0.4042529265322,-0.32370587897719,-0.00668623159597394
106,0.662267850459642,0.384883871193146,-0.337173499119636,-0.0220421921519015
106.5,0.652552202919036,0.365247068430715,-0.350485622908878,-0.0374321228437679
107,0.642462470138882,0.345358284318107,-0.363658841818257,-0.0528920375841574
107.5,0.63198433782357,0.325234444192279,-0.376710934817427,-0.0684577677790894
108,0.621104779401937,0.304893595533651,-0.389660901524668,-0.0841648496550687
108.5,0.609812093379108,0.284354850259817,-0.402528998224941,-0.100048434276042
109,0.598095921126787,0.263638304802905,-0.415336776836435,-0.116143223420896
109.5,0.585947243873125,0.242764936485073,-0.428107126911136,-0.13248343429199
110,0.57335835779807,0.22175647489889,-0.440864320749141,-0.149102795757263
110.5,0.560322826319677,0.200635247237059,-0.453634061688216,-0.166034578490458
111,0.546835408872736,0.179423996804215,-0.466443535601585,-0.183311660964362
111.5,0.532891965733132,0.158145674279398,-0.479321465595201,-0.200966632770981
112,0.518489338729034,0.136823201682441,-0.492298169842798,-0.219031936192231
112.5,0.503625208000755,0.1154792094264,-0.505405622431358,-0.237540046327785
113,0.488297925323654,0.094135747308153,-0.518677517014357,-0.256523689409054
113.5,0.4725063248857,0.0728139707928653,-0.532149332984141,-0.276016098197901
114,0.456249512810615,0.0515338044779249,-0.545858403781745,-0.296051302595025
114.5,0.439526637129566,0.0303135851670155,-0.559843986862947,-0.316664452779714
115,0.422336640322311,0.00916968753362776,-0.574147334736936,-0.337892171384263
115.5,0.404677996962542,-0.0118838641083132,-0.588811766390089,-0.359772930391196
116,0.386548439401549,-0.0328357938964915,-0.603882738305286,-0.382347447648276
116.5,0.36794467479838,-0.0536779778733074,-0.619407914190246,-0.405659097147414
117,0.348862097141789,-0.0744058478860552,-0.635437232437791,-0.429754326530112
117.5,0.329294498197303,-0.0950187906814504,-0.65202297026078,-0.454683074687182
118,0.30923378154177,-0.115520536693821,-0.669219803376121,-0.480499181834887
118.5,0.288669684005871,-0.135919532882194,-0.687084860057926,-0.507260784093702
119,0.267589508924732,-0.156229293942619,-0.705677768340935,-0.535030684385444
119.5,0.245977875589902,-0.176468726317752,-0.725060695132761,-0.563876691413476
120,0.22381648919786,-0.196662419649623,-0.745298375987469,-0.593871918605163
120.5,0.201083935398544,-0.216840900675672,-0.766458134303383,-0.625095035179622
121,0.177755503262701,-0.237040845047058,-0.788609888733573,-0.657630461950894
121.5,0.153803040112556,-0.257305243144858,-0.811826147636772,-0.691568505076779
122,0.129194841202977,-0.277683516670003,-0.836181989447231,-0.72700542169879
122.5,0.103895576709371,-0.298231583570151,-0.861755027901494,-0.764043412264464
123,0.0778662578865529,-0.319011869719188,-0.888625361124874,-0.802790535250012
123.5,0.051064243623068,-0.340093266660319,-0.916875503647381,-0.843360540975226
124,0.0234432879457054,-0.361551035634165,-0.946590300483555,-0.885872622185025
124.5,-0.00504637165538215,-0.383466659014384,-0.977856822470023,-0.930451080025487
125,-0.0344578858904364,-0.405927641136009,-1.01076424210389,-0.977224904926226
125.5,-0.0648476267908975,-0.429027261303231,-1.04540368916155,-1.02632727267926
126,-0.0962749843769347,-0.45286428247901,-1.08186808539709,-1.07789495664303
126.5,-0.12880212952949,-0.477542619769669,-1.12025195761944,-1.13206765746971
127,-0.162493746228728,-0.503170973308069,-1.16065122842628,-1.18898725203284
127.5,-0.197416736748844,-0.529862430496506,-1.20316298382717,-1.24879696330486
128,-0.233639903745951,-0.557734042790257,-1.24788521691945,-1.31164045279358
128.5,-0.271233613435134,-0.586906382281135,-1.29491654668619,-1.37766083679528
129,-0.310269444225872,-0.617503083281368,-1.3443559108686,-1.44699962717184
129.5,-0.350819825271929,-0.64965037391839,-1.39630223172559,-1.51979559662951
130,-0.392957669398086,-0.683476602440963,-1.45085405333512,-1.59618356760052
130.5,-0.436756004798395,-0.719111762521118,-1.50810914891831,-1.67629312284556
131,-0.482287609767017,-0.756687021329857,-1.56816409648331,-1.76024723485772
131.5,-0.529624654534062,-0.796334253586583,-1.63111382089767,-1.84816081012059
132,-0.578838354044791,-0.838185584149923,-1.69705110031338,-1.94013914333191
132.5,-0.629998635253283,-0.882372941051997,-1.76606603469643,-2.03627627594006
133,-0.683173822210403,-0.929027620195987,-1.83824547406344,-2.13665325286332
133.5,-0.738430341922103,-0.978279862257392,-1.91367240391531,-2.24133627119701
134,-0.795832453646016,-1.03025844166871,-1.99242528529602,-2.35037471521301
134.5,-0.855442003988954,-1.08509026694036,-2.07457734691254,-2.46379907319196
135,-0.917318209872615,-1.14289999099124,-2.16019582685039,-2.58161873380374
135.5,-0.981517471152062,-1.20380962964207,-2.24934116163266,-2.70381966309467
136,-1.04809321440497,-1.267938185973,-2.34206612072922,-2.8303619679067
136.5,-1.11709576915901,-1.33540127787292,-2.43841488515913,-2.9611773580222
137,-1.18857227758884,-1.40631076581731,-2.53842206958329,-3.09616652778715
137.5,-1.26256663849084,-1.48077437771031,-2.64211168829935,-3.23519648869754
138,-1.33911948612775,-1.55889532751908,-2.74949606687708,-3.37809789768756
138.5,-1.41826820432264,-1.6407719244177,-2.86057470286232,-3.52466244180384
139,-1.50004697596557,-1.72649716924682,-2.97533308109118,-3.67464035862414
139.5,-1.58448686787024,-1.81615833528643,-3.09374145175135,-3.82773819300816
140,-1.67161595067685,-1.90983653063502,-3.21575358246216,-3.98361691407217
140.5,-1.76145945323264,-2.00760623989098,-3.34130549937358,-4.1418905407646
141,-1.85403995059164,-2.10953484334525,-3.47031423664454,-4.30212544866058
141.5,-1.94937758445144,-2.21568211251998,-3.60267661867461,-4.46384055252653
142,-2.04749031448891,-2.32609968163104,-3.73826810511666,-4.62650857605553
142.5,-2.14839419866449,-2.44083049541659,-3.87694173493753,-4.78955862845568
143,-2.25210370013994,-2.55990823476455,-4.01852721250109,-4.95238030319858
143.5,-2.35863201799879,-2.68335672269244,-4.16283018562974,-5.1143294928024
144,-2.46799143848029,-2.81118931449053,-4.30963177256708,-5.27473607079231
144.5,-2.58019370294327,-2.94340827723328,-4.45868840131211,-5.43291352458779
145,-2.69525038827859,-3.0800041654008,-4.60973203039474,-5.58817052942965
145.5,-2.81317329500003,-3.22095520102516,-4.76247082415336,-5.73982433478513
146,-2.93397483777915,-3.36622666858388,-4.91659035717025,-5.8872156958825
146.5,-3.0576684327667,-3.51577033678887,-5.0717554208361,-6.02972493336852
147,-3.1842688756776,-3.66952392144499,-5.22761249911458,-6.1667885570933
147.5,-3.31379270432827,-3.82741060564392,-5.38379296955348,-6.29791576263731
148,-3.44625853911837,-3.9893386356724,-5.53991706866659,-6.42270401983156
148.5,-3.58168739486098,-4.15520101308598,-5.6955986374869,-6.54085293831563
149,-3.72010295739919,-4.32487530535056,-5.85045063328894,-6.65217562871009
149.5,-3.86153181861237,-4.49822359918326,-6.00409135770103,-6.75660688422166
150,-4.00600366372003,-4.67509262210862,-6.15615131089825,-6.85420768174626
150.5,-4.15355140523794,-4.85531405864286,-6.30628053830713,-6.94516572903185
151,-4.30421125852838,-5.03870508776402,-6.45415629307154,-7.02979204203882
151.5,-4.45802275460988,-5.22506916774403,-6.5994907979048,-7.10851379618281
152,-4.61502868674128,-5.41419709282467,-6.74203885776269,-7.18186392821057
152.5,-4.77527498825858,-5.60586834343695,-6.88160505390496,-7.25046814792812
153,-4.93881054020562,-5.79985274753272,-7.01805024378577,-7.31503013477719
153.5,-5.1056869084431,-5.99591246499967,-7.15129710224236,-7.37631573719448
154,-5.27595801112887,-6.19380430000695,-7.28133446859722,-7.43513696649004
154.5,-5.44967971871608,-6.39328233750101,-7.40822031073318,-7.49233649333316
155,-5.62690938990066,-6.59410089006774,-7.53208317826074,-7.54877323054693
155.5,-5.80770534824961,-6.79601773024619,-7.65312208820768,-7.6053094392354
156,-5.9921263055481,-6.99879757150595,-7.77160486263165,-7.66279964361358
156.5,-6.180230739206,-7.20221574899747,-7.8878650120188,-7.72208149740172
157,-6.37207623236056,-7.40606203948922,-8.00229732530056,-7.78396862118083
157.5,-6.56771878659744,-7.61014454934023,-8.115352381713,-7.8492453312184
158,-6.76721211848684,-7.81429359068641,-8.22753023792392,-7.91866310765529
158.5,-6.97060695239241,-8.01836545998927,-8.33937356404962,-7.99293860235123
159,-7.1779503232522,-8.22224603035916,-8.45146050440677,-8.072752960931
159.5,-7.3892849042402,-8.42585407010477,-8.56439752476961,-8.15875222545942
160,-7.60464837536876,-8.62914420502172,-8.67881248044157,-8.25154858922254
160.5,-7.8240728501463,-8.83210945096696,-8.79534810224814,-8.35172228906023
161,-8.04758437829491,-9.03478325589871,-8.91465605447461,-8.45982393986333
161.5,-8.27520254316476,-9.23724100609411,-9.03739167343075,-8.57637713715615
162,-8.50694017272438,-9.43960096870139,-9.16420945076702,-8.70188117472012
162.5,-8.74280318267642,-9.6420246609175,-9.29575928415178,-8.83681374313896
163,-8.98279056911464,-9.84471665354653,-9.43268348084061,-8.98163349057227
163.5,-9.22689456589719,-10.0479238320789,-9.57561446757239,-9.13678233790034
164,-9.47510097819127,-10.2519341503748,-9.72517313290096,-9.30268744570307
164.5,-9.72738969798354,-10.4570749192958,-9.88196770465739,-9.47976272941797
165,-9.98373539920396,-10.6637106741358,-10.0465930443469,-9.66840981042382
165.5,-10.2441083988212,-10.8722406595483,-10.2196302200837,-9.8690182734052
166,-10.5084756550827,-11.083095958086,-10.4016461979232,-10.0819650724546
166.5,-10.7768018541072,-11.2967362677358,-10.5931934655174,-10.3076128876872
167,-11.0490505102968,-11.5136463041476,-10.7948093687656,-10.5463071776993
167.5,-11.325184973354,-11.7343317635866,-11.0070148978082,-10.7983715971345
168,-11.6051691937723,-11.9593147315229,-11.2303125987341,-11.0641013480918
168.5,-11.8889680479855,-12.1891283571077,-11.4651832060956,-11.3437539032037
169,-12.1765469621944,-12.4243105326352,-11.7120804816963,-11.6375363701245
169.5,-12.4678704982313,-12.6653962154237,-11.9714235984467,-11.9455885547192
170,-12.762899473421,-12.9129079021372,-12.2435862137996,-12.2679605172052
170.5,-13.0615860767831,-13.1673436058932,-12.5288811231339,-12.6045830993416
171,-13.3638663136313,-13.4291614869722,-12.8275390563519,-12.9552295379313
171.5,-13.6696489577148,-13.6987600406673,-13.1396797693184,-13.3194658953054
172,-13.9788000141294,-13.9764524442605,-13.4652730808193,-13.696587690729
172.5,-14.2911215004444,-14.2624333077393,-13.8040869278284,-14.0855399284933
173,-14.6063231480949,-14.5567356697861,-14.1556189061923,-14.4848179102212
173.5,-14.9239854343009,-14.8591756656442,-14.5190072504339,-14.8923471661733
174,-15.2435122223661,-15.1692819447934,-14.8929170327934,-15.3053431310439
174.5,-15.5640712977476,-15.4862067891108,-15.2753979880175,-15.7201556543989
