"Theta [deg]","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='0deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='45deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='90.0000000000002deg'","dB(RealizedGainTotal) [] - Freq='4GHz' Phi='135deg'"
-90.0000000000002,1.25473466611176,0.760615996757727,0.159190578237262,0.769561851989593
-89.5000000000003,1.27972833919301,0.784571918641089,0.1795880073369,0.777100303014389
-88.9999999999998,1.30508529088468,0.808626599826542,0.200135350445599,0.784192940239915
-88.4999999999999,1.33078641879525,0.832762043762138,0.220811052253158,0.790838843790824
-88,1.35681170482552,0.856959981489997,0.241591904794504,0.797036991892562
-87.5000000000001,1.38314022320279,0.881201956271399,0.26245304030303,0.802786163438375
-87.0000000000002,1.40975014541258,0.90546940456976,0.28336793294597,0.808084843637223
-86.5000000000003,1.43661874293426,0.929743733083626,0.30430841028116,0.81293113343447
-85.9999999999998,1.46372238873709,0.954006391573299,0.325244675215961,0.817322663349375
-85.4999999999999,1.49103655852821,0.97823894126846,0.34614533917711,0.821256512325195
-85,1.51853583276375,1.00242311868016,0.366977467116441,0.824729132136461
-84.5000000000001,1.54619390043622,1.02654089466676,0.387706634882151,0.82773627784681
-84.0000000000002,1.57398356563951,1.05057452862328,0.408296999379183,0.830272944757722
-83.5000000000003,1.60187675788364,1.07450661767514,0.428711381828771,0.832333312234256
-82.9999999999998,1.62984454708759,1.09832014076225,0.44891136431489,0.833910694739419
-82.4999999999999,1.65785716411979,1.12199849749958,0.468857399678079,0.834997500351949
-82,1.68588402768393,1.14552554169525,0.488508934685321,0.835585196985836
-81.5000000000001,1.71389377826184,1.16888560940024,0.507824546270775,0.835664286471445
-81.0000000000002,1.74185431972833,1.19206354135436,0.526762090505956,0.835224286598817
-80.5000000000003,1.76973286914576,1.21504469968474,0.5452788638242,0.834253721163416
-79.9999999999998,1.79749601512897,1.23781497870566,0.563331775889814,0.832740117993696
-79.4999999999999,1.82510978504763,1.26036080966463,0.580877533372679,0.830670014876721
-79,1.85253972120305,1.28266915928075,0.59787283376218,0.828028973236005
-78.5000000000001,1.87975096598186,1.30472752192772,0.614274568231848,0.824801599350631
-78.0000000000002,1.90670835585258,1.32652390532891,0.630040032449244,0.820971572840995
-77.5000000000003,1.93337652393271,1.34804680965433,0.645127144113538,0.816521682080858
-76.9999999999998,1.95972001071704,1.36928519994248,0.659494665895985,0.811433866130279
-76.4999999999999,1.98570338242238,1.39022847181189,0.673102432357308,0.805689262718736
-76,2.01129135627274,1.41086641048151,0.685911579318535,0.799268261742584
-75.5000000000001,2.03644893192173,1.43118914318204,0.697884774069482,0.792150563676643
-75.0000000000002,2.06114152808942,1.45118708511611,0.708986444709377,0.784315242236478
-74.5000000000003,2.08533512337702,1.47085087920847,0.71918300682923,0.775740810565622
-73.9999999999998,2.10899640011826,1.49017132998236,0.728443085661547,0.766405290162639
-73.4999999999999,2.13209289003088,1.50913933199811,0.736737731742785,0.756286281704191
-73,2.15459312034557,1.5277457933988,0.744040628055555,0.745361036866752
-72.5000000000001,2.17646675901476,1.545981555218,0.750328286541086,0.733606530197492
-72.0000000000002,2.19768475753985,1.56383730721866,0.755580231800302,0.720999530038668
-71.5000000000002,2.21821948990309,1.58130350114326,0.759779169732447,0.707516667467382
-70.9999999999998,2.23804488605061,1.59837026236389,0.762911138797538,0.693134502177303
-70.4999999999999,2.25713655834577,1.6150273010208,0.764965641533731,0.677829584199262
-70,2.27547191939852,1.63126382382841,0.765935753916585,0.661578510336424
-69.5000000000001,2.29303028967662,1.64706844780307,0.765818210117801,0.644357974177751
-69.0000000000001,2.30979299331962,1.66242911722561,0.764613460210127,0.626144808551389
-68.5000000000002,2.32574344060713,1.67733302518878,0.762325698379049,0.606916019288988
-67.9999999999998,2.34086719557996,1.69176654109408,0.758962859244814,0.586648809195423
-67.4999999999999,2.35515202737704,1.70571514544868,0.754536579977964,0.565320591156068
-67,2.3685879439344,1.71916337327249,0.749062126014042,0.542908989366771
-66.5,2.38116720679473,1.73209476735231,0.742558278344988,0.519391827745912
-66.0000000000001,2.39288432589993,1.74449184247656,0.735047180594161,0.494747104678121
-65.5000000000002,2.40373603338419,1.75633606164782,0.726554144373723,0.468952953354487
-64.9999999999998,2.41372123555311,1.76760782510301,0.717107411784629,0.441987587109643
-64.4999999999999,2.42284094242627,1.77828647277283,0.706737874354202,0.413829229318742
-64,2.43109817443549,1.78835030058671,0.695478748217346,0.384456027602984
-63.5,2.43849784611056,1.79777659077754,0.683365205936396,0.353845952306485
-63.0000000000001,2.44504662684635,1.80654165606942,0.670433966017728,0.3219766794468
-62.5000000000002,2.45075277912894,1.81462089734249,0.656722841917334,0.288825458606788
-61.9999999999998,2.45562597490265,1.82198887407045,0.642270253122692,0.254368966526937
-61.4999999999999,2.45967709108007,1.82861938652311,0.627114701742191,0.218583147471045
-60.9999999999999,2.46291798553122,1.83448556842511,0.611294218910083,0.181443041772231
-60.5,2.46536125522917,1.83955998847166,0.594845786202879,0.142922604316954
-60.0000000000001,2.46701997857369,1.84381475882842,0.577804738139374,0.102994515086803
-59.5000000000002,2.46790744425396,1.84722164849463,0.560204152672106,0.0616299842454115
-58.9999999999998,2.46803686933849,1.84975219919386,0.542074237344747,0.0187985546236921
-58.4999999999998,2.46742110958711,1.85137784128221,0.523441719454943,-0.0255320951864765
-57.9999999999999,2.46607236525756,1.85207000703776,0.504329249095399,-0.0713963435823228
-57.5,2.46400188591753,1.85180023862299,0.48475482431629,-0.118830810685189
-57,2.46121967796475,1.85054028800049,0.464731247833698,-0.167874530929656
-56.5,2.45773421869239,1.84826220613636,0.444265624677907,-0.218569109151439
-56,2.45355218080781,1.84493841894842,0.423358909917067,-0.270958855651366
-55.5,2.44867817131254,1.84054178765025,0.402005515096788,-0.325090895614206
-55,2.44311448857489,1.83504565140911,0.380192981304085,-0.381015248236932
-54.5,2.43686090127022,1.82842385057251,0.357901725805156,-0.438784870981076
-54,2.42991445262738,1.82065072912451,0.335104868038669,-0.498455664512652
-53.5,2.42226929310228,1.81170111550176,0.311768139397657,-0.560086434134315
-53,2.41391654420742,1.80155028142434,0.287849879739752,-0.623738803851473
-52.5,2.40484419576306,1.79017387896897,0.263301121970707,-0.689477079644251
-52,2.39503703831135,1.77754785671953,0.238065764396746,-0.757368059040092
-51.5,2.38447663186074,1.7636483564588,0.212080828889174,-0.827480784690802
-51,2.37314131151563,1.74845159250094,0.185276801299463,-0.899886240347679
-50.5,2.36100622991086,1.73193371638781,0.157578049054001,-0.974656988388983
-50,2.34804343572781,1.71407067026656,0.128903309490824,-1.05186674887595
-49.5,2.33422198693375,1.69483803281091,0.0991662413113527,-1.13158992098698
-49,2.31950809677531,1.67421086202435,0.0682760305421463,-1.21390104859024
-48.5,2.30386530998491,1.65216353965213,0.0361380416543999,-1.29887423265476
-48,2.28725470614104,1.62866962221105,0.00265450398545505,-1.38658249415482
-47.5,2.26963512666974,1.6037017038065,-0.0322747766508158,-1.47709709208397
-47,2.25096342159855,1.57723129593301,-0.0687516912945416,-1.5704868021525
-46.5,2.23119471188068,1.54922872933497,-0.106879096032258,-1.66681716268956
-46,2.21028266290424,1.51966308273688,-0.146760084558047,-1.76614969519853
-45.5,2.1881797646896,1.48850214283332,-0.188497274016391,-1.86854110791945
-45,2.16483761425966,1.45571239936381,-0.232192112297028,-1.97404249162761
-44.5,2.14020719573831,1.42125907839574,-0.277944214090159,-2.08269851773904
-44,2.11423915389003,1.38510621611385,-0.325850732063105,-2.19454664959641
-43.5,2.08688405704834,1.34721677448645,-0.376005768516084,-2.30961637856553
-43,2.0580926456885,1.30755279916957,-0.428499831845491,-2.42792849727495
-42.5,2.02781606326689,1.26607561894628,-0.483419341113648,-2.54949442296683
-42,1.99600606636882,1.22274608491023,-0.540846181016421,-2.67431558447993
-41.5,1.96261521166497,1.17752484651607,-0.600857308575324,-2.80238288683515
-41,1.92759701766427,1.13037266056914,-0.663524411971238,-2.93367626771194
-40.5,1.89090609975557,1.08125072823913,-0.728913621096415,-3.06816436025881
-40,1.85249827754186,1.03012105428465,-0.797085268637359,-3.20580427663297
-39.5,1.81233065397869,0.976946821894172,-0.868093699816784,-3.34654152636821
-39,1.77036166632254,0.921692775902281,-0.941987128324388,-3.49031008307521
-38.5,1.72655110936749,0.864325606647175,-1.01880753544904,-3.63703261203271
-38,1.68086013189057,0.804814326408344,-1.09859060899191,-3.78662086987618
-37.5,1.63325120763283,0.743130630209694,-1.18136571818601,-3.93897628577848
