Freq [GHz],"dB(S(1,1)) []","dB(S(1,1)) []"
4.76,-6.859118721,-8.004719985
4.77,-6.753172769,-7.774589574
4.78,-6.648912354,-7.553920659
4.79,-6.546315283,-7.34251444
4.8,-6.445360538,-7.140080453
4.81,-6.346028297,-6.946273491
4.82,-6.248299952,-6.760722297
4.83,-6.15215813,-6.583050839
4.84,-6.057586697,-6.412893303
4.85,-5.964570773,-6.249903982
4.86,-5.873096733,-6.093763181
4.87,-5.783152211,-5.944180127
4.88,-5.694726099,-5.800893687
4.89,-5.607808538,-5.663671573
4.9,-5.522390919,-5.532308527
4.91,-5.438465866,-5.406623884
4.92,-5.356027227,-5.286458792
4.93,-5.275070058,-5.171673304
4.94,-5.195590602,-5.062143481
4.95,-5.117586273,-4.9577586
4.96,-5.041055628,-4.858418543
4.97,-4.965998342,-4.764031396
4.98,-4.892415179,-4.674511288
4.99,-4.820307959,-4.589776465
5,-4.749679526,-4.50974762
